Tile Number,Row Index,Column Index
1,0,0
2,0,1
3,0,2
4,0,3
5,0,4
6,0,5
7,0,6
8,0,7
9,0,8
10,0,9
11,0,10
12,0,11
13,0,12
14,1,0
15,1,1
16,1,2
17,1,3
18,1,4
19,1,5
20,1,6
21,1,7
22,1,8
23,1,9
24,1,10
25,1,11
26,1,12
27,2,0
28,2,1
29,2,2
30,2,3
31,2,4
32,2,5
33,2,6
34,2,7
35,2,8
36,2,9
37,2,10
38,2,11
39,2,12
40,3,0
41,3,1
42,3,2
43,3,3
44,3,4
45,3,5
46,3,6
47,3,7
48,3,8
49,3,9
50,3,10
51,3,11
52,3,12
53,4,0
54,4,1
55,4,2
56,4,3
57,4,4
58,4,5
59,4,6
60,4,7
61,4,8
62,4,9
63,4,10
64,4,11
65,4,12
66,5,0
67,5,1
68,5,2
69,5,3
70,5,4
71,5,5
72,5,6
73,5,7
74,5,8
75,5,9
76,5,10
77,5,11
78,5,12
79,6,0
80,6,1
81,6,2
82,6,3
83,6,4
84,6,5
85,6,6
86,6,7
87,6,8
88,6,9
89,6,10
90,6,11
91,6,12
92,7,0
93,7,1
94,7,2
95,7,3
96,7,4
97,7,5
98,7,6
99,7,7
100,7,8
101,7,9
102,7,10
103,7,11
104,7,12
105,8,0
106,8,1
107,8,2
108,8,3
109,8,4
110,8,5
111,8,6
112,8,7
113,8,8
114,8,9
115,8,10
116,8,11
117,8,12
118,9,0
119,9,1
120,9,2
121,9,3
122,9,4
123,9,5
124,9,6
125,9,7
126,9,8
127,9,9
128,9,10
129,9,11
130,9,12
131,10,0
132,10,1
133,10,2
134,10,3
135,10,4
136,10,5
137,10,6
138,10,7
139,10,8
140,10,9
141,10,10
142,10,11
143,10,12
144,11,0
145,11,1
146,11,2
147,11,3
148,11,4
149,11,5
150,11,6
151,11,7
152,11,8
153,11,9
154,11,10
155,11,11
156,11,12
157,12,0
158,12,1
159,12,2
160,12,3
161,12,4
162,12,5
163,12,6
164,12,7
165,12,8
166,12,9
167,12,10
168,12,11
169,12,12
170,13,0
171,13,1
172,13,2
173,13,3
174,13,4
175,13,5
176,13,6
177,13,7
178,13,8
179,13,9
180,13,10
181,13,11
182,13,12
183,14,0
184,14,1
185,14,2
186,14,3
187,14,4
188,14,5
189,14,6
190,14,7
191,14,8
192,14,9
193,14,10
194,14,11
195,14,12
196,15,0
197,15,1
198,15,2
199,15,3
200,15,4
201,15,5
202,15,6
203,15,7
204,15,8
205,15,9
206,15,10
207,15,11
208,15,12
